ID;KOMNR;GARDSNR;BRUKSNR;FESTENR;BRUKSNAVN;JORDBRUKSAREAL;ANNETAREAL;SKOGAREAL;FULLDYRKET;OVERFLATEDYRKET;INNMARKSBEITE
"156933";"1160";106;9;0;"NYHEIM";1.9;1.2;2.0;1.9;0.0;0.0
"156935";"1160";108;34;0;"HAUGSTAD";4.0;2.0;4.8;4.0;0.0;0.0
"156936";"1160";108;100;0;;4.9;18.0;0.0;4.9;0.0;0.0
"156940";"1160";159;44;0;"HEIMTUN";2.0;3.5;0.0;1.9;0.1;0.0
"120467";"1160";164;10;0;"SOLHAUG";2.2;4.3;0.0;2.2;0.0;0.0
"120469";"1160";170;11;0;"BJØRKEVOLD";0.0;6.4;40.5;0.0;0.0;0.0
"120471";"1160";173;8;0;"SOLTUN";13.0;5.8;4.5;0.0;0.0;13.0
"120474";"1160";181;13;0;"SOLTUN";0.0;63.4;25.8;0.0;0.0;0.0
"204257";"4601";4;2;0;"Erdal";8.3;3.6;43.1;0.0;2.8;5.5
"133881";"5025";132;121;0;"KÅSVOLDEN ØSTRE";8.3;127.6;92.6;0.7;0.0;7.6
"159077";"5025";132;490;0;"TRØA";0.6;1.7;0.0;0.6;0.0;0.0
"202675";"5025";133;552;0;"YRKESSKOLETOMT";7.0;21.9;0.0;7.0;0.0;0.0
"127830";"5025";134;3;0;"KVITSANDHAGE";6.9;0.7;0.0;6.9;0.0;0.0
"133886";"5025";136;17;0;"SMAAHAGE";5.0;0.5;0.1;5.0;0.0;0.0
"133887";"5025";136;18;0;"SMAAHAGE";4.7;1.2;0.0;4.7;0.0;0.0
"201771";"4213";53;11;0;"KILBAKKEN";25.0;10.4;14.1;17.0;0.0;8.0
"205666";"4213";60;7;0;"RAMLET";16.1;5.9;115.0;16.1;0.0;0.0
"201789";"4213";84;518;0;;0.0;4.9;393.7;0.0;0.0;0.0
"201715";"4214";1;4;0;"HORVEDAL";61.4;29.5;398.2;61.4;0.0;0.0
"201716";"4214";2;30;0;"BÆRS";3.3;3.9;0.0;3.3;0.0;0.0
"201717";"4214";4;23;0;"FREDHEIM III";0.0;1.0;0.3;0.0;0.0;0.0
"137812";"4214";11;5;0;"STIEN";5.1;4.1;14.3;5.1;0.0;0.0
"201722";"4214";18;8;0;"AAVELAND";4.8;1.4;0.3;4.8;0.0;0.0
"201724";"4214";20;29;0;"FOSSTVEIT";3.8;3.2;27.8;3.8;0.0;0.0
