orgnr;komnr;bygg_for_kg;bygg_sakorn_kg;erter_for_kg;erter_sakorn_kg;havre_for_kg;havre_sakorn_kg;hvete_for_kg;hvete_mat_kg;hvete_sakorn_kg;oljefro_kg;oljefro_sakorn_kg;rug_for_kg;rug_mat_kg;rug_sakorn_kg;rughvete_for_kg;rughvete_sakorn_kg
869176532;3035;65171;0;0;0;71114;0;0;0;0;0;0;0;0;0;0;0
869176702;3036;35592;0;0;0;67948;0;0;0;0;0;0;0;0;0;0;0
869176842;3033;0;0;0;0;25910;0;0;0;0;0;0;0;0;0;0;0
869181722;5038;36407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869182672;5038;55719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869183032;5053;77684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869184462;5041;60767;0;0;0;0;0;4754;0;0;0;0;0;0;0;0;0
869185752;5006;244346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869188212;3045;40561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869193232;3446;15166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869194352;3443;16757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869198692;3417;166636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869203742;3804;0;0;0;0;28218;0;0;0;0;0;0;0;0;0;0;0
869204862;3804;0;0;0;0;0;0;0;0;0;0;0;12025;0;0;0;0
869206792;3002;213;0;0;0;0;0;0;30513;0;0;0;0;23512;0;0;0
869206792;3103;0;0;0;0;0;0;0;15578;0;0;0;0;34969;0;0;0
869207012;3001;0;0;0;0;23053;0;13709;0;0;0;0;0;0;0;0;0
869207292;3003;11734;0;0;0;0;0;8950;0;0;5332;0;0;0;0;0;0
869214302;3230;0;0;0;0;61573;0;0;0;0;0;0;0;0;0;0;0
869214922;3036;9851;0;0;0;33822;0;0;0;0;0;0;0;0;0;0;0
869217352;3443;63609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869220612;5035;45365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869223522;3817;0;0;0;0;14065;0;45830;0;0;0;0;0;0;0;0;0
869223522;4020;0;0;0;0;0;0;6223;0;0;0;0;0;0;0;0;0
869234052;3040;0;0;0;0;9102;0;0;0;0;0;0;0;0;0;0;0
869240702;3014;109685;0;0;0;0;0;136558;0;0;0;0;0;0;0;0;0
869241172;3120;2593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869241172;3016;34375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869243752;3417;205180;0;0;0;58863;0;0;0;0;0;0;0;0;0;0;0
869246522;3417;57101;0;0;0;220509;0;0;0;0;0;0;0;0;0;0;0
869249882;3817;0;0;0;0;25969;0;0;0;0;0;0;0;0;0;0;0
869251232;3053;44605;0;0;0;24846;0;24235;0;0;0;0;0;0;0;0;0
869254762;3030;0;0;0;0;23327;0;0;0;0;0;0;0;0;0;0;0
869256722;5047;63133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869258822;5057;277967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869272132;3805;3826;0;0;0;35317;0;44218;0;0;0;0;0;0;0;0;0
869274852;3905;24153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869274852;3803;4213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869281212;3418;0;12600;0;0;64982;3600;0;0;0;0;0;0;0;0;0;0
869282952;3101;217159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869282952;3001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869283312;3002;0;0;0;0;0;0;26356;0;0;0;0;0;0;0;0;0
869286222;3006;0;0;0;0;14168;0;0;0;0;0;0;0;0;0;0;0
869286842;3034;28449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869293792;5006;172948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869296112;3442;16496;205203;45969;0;0;0;0;0;0;0;0;0;0;0;0;0
869312622;3423;65006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869314412;3401;0;0;0;0;8134;0;0;0;0;0;0;0;0;0;0;0
869322652;3437;29581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869325392;5060;2530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869325732;5035;14581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869326232;5037;9794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
