orgnr;komnr;hvete_mat;hvete_for;hvete_sakorn;rug_mat;rug_for;rug_sakorn;bygg;bygg_sakorn;havre;havre_sakorn;rughvete;rughvete_sakorn;erter;erter_sakorn;oljefro;oljefro_sakorn
924460784;3120;0;32584;0;0;0;0;37896;0;26960;0;0;0;0;0;0;0
924483202;3114;0;21449;0;0;0;0;0;0;23049;0;0;0;0;0;0;0
924540451;3112;0;82680;0;0;0;0;0;0;0;0;0;0;0;0;25624;0
924634375;3105;0;0;0;0;0;0;0;0;10256;0;0;0;0;0;0;0
924686057;3116;88546;21221;0;0;0;0;0;0;105238;0;0;0;0;0;0;0
924814454;3417;2130;90433;0;0;0;0;51412;0;28365;0;0;0;0;0;0;0
924882816;3428;0;0;0;0;0;0;9482;0;0;0;0;0;0;0;0;0
924991348;3305;0;10831;0;0;0;0;5383;0;0;0;0;0;0;0;0;0
925063053;3107;58058;59973;0;0;0;0;0;0;0;0;0;0;0;0;28541;0
925088463;4005;0;0;0;0;0;0;0;0;9242;0;0;0;0;0;0;0
925414409;3101;0;0;0;51026;0;0;27316;0;0;0;0;0;0;0;0;0
925468347;3316;0;0;0;0;0;0;24614;0;74614;0;0;0;0;0;0;0
925536571;3228;0;0;0;0;0;0;56668;0;67565;0;0;0;0;0;0;0
925720623;5038;0;0;0;0;0;0;23533;0;0;0;0;0;0;0;0;0
925858307;3413;0;0;0;0;0;0;42998;0;0;0;0;0;0;0;0;0
925972142;1120;0;0;0;0;0;0;13626;0;0;0;0;0;0;0;0;0
925994073;5029;0;0;0;0;0;0;91332;0;0;0;0;0;0;0;0;0
926058908;3114;0;0;0;0;0;0;24137;0;50125;0;0;0;0;0;0;0
926066528;5001;0;0;0;0;0;0;22367;0;66715;0;0;0;0;0;0;0
926073796;3903;0;0;0;0;0;0;122255;0;0;0;0;0;0;0;0;0
926142100;3240;0;0;0;0;0;0;0;0;123475;0;0;0;0;0;0;0
926330241;3332;0;0;0;0;0;0;104777;0;0;0;0;0;0;0;0;0
926330306;3332;0;0;0;0;0;0;0;0;37443;0;0;0;0;0;0;0
926359878;5041;0;0;0;0;0;0;90771;0;20335;0;0;0;0;0;0;0
926671855;3116;0;47283;0;0;0;0;56544;0;106107;0;0;0;0;0;0;0
926910019;4223;0;0;0;0;0;0;0;0;24886;0;0;0;0;0;0;0
926953761;3905;0;50192;0;0;0;0;0;0;0;0;0;0;0;0;0;0
927009919;5041;0;0;0;0;0;0;140041;0;0;0;0;0;0;0;0;0
927076683;3118;0;0;0;0;0;0;0;0;9821;0;0;0;0;0;0;0
927139022;3116;0;0;0;0;0;0;863;0;125442;0;0;0;0;0;30928;0
927239264;3218;0;232826;0;0;0;0;0;0;0;0;0;0;0;0;0;0
927700824;5001;0;0;0;0;0;0;0;0;24514;0;0;0;0;0;0;0
927805081;3443;0;0;0;0;0;0;243668;0;0;0;0;0;0;0;0;0
928077667;1120;0;0;0;0;0;0;86471;0;0;0;0;0;0;0;0;0
928120155;3436;0;0;0;0;0;0;10094;0;0;0;0;0;0;0;0;0
928171868;3419;0;0;0;0;0;0;570404;0;127076;0;0;0;0;0;0;0
928209792;5001;0;0;0;0;0;0;89796;0;54646;0;0;0;0;0;0;0
928306445;3236;0;0;0;0;0;0;12978;0;0;0;0;0;0;0;0;0
928323153;4020;0;0;0;0;0;0;0;0;22086;0;0;0;0;0;0;0
928331261;5037;0;0;0;0;0;0;165497;0;0;0;0;0;0;0;0;0
928356965;3118;0;0;0;0;0;0;57014;0;0;0;0;0;0;0;0;0
928421651;0301;57292;43742;0;0;0;0;0;0;0;0;0;0;0;0;0;0
928535754;3415;0;0;0;0;0;0;66036;0;84998;0;0;0;0;0;0;0
928539423;5037;0;0;0;0;0;0;151768;0;0;0;0;0;0;0;0;0
928556352;5001;0;0;0;0;0;0;39558;0;6417;0;0;0;0;0;0;0
928593223;5045;0;0;0;0;0;0;53444;0;30481;0;0;0;0;0;0;0
928614026;5038;0;0;0;0;0;0;142102;0;0;0;0;0;0;0;0;0
